name,email,sex,is_teacher,is_student,gender2,fav_subject,int_test,decimal_test,range_test,date_test,time_test,date_time,image_test,file_test,autocalc_test,geolocation_test,barcode_test,geo_area_test,percent_test
subj_10,subj_10@gmail.com,,On,Off,lorem ipsum,nepali,93,,31,,,,,,,,,"27.590445685248042,85.15899554847603,27.756789355533346,85.4375024711173,28.27669744023331,85.0217375310064",
subj_11,subj_11@gmail.com,m,Off,Off,sample input,math,38,20.33,18,,20:41,18/04/2024 19:54,,,,"27.96372491399332,85.38949817728907",,"27.77133430528562,85.42878607206129,27.694199048390274,85.19254474805018,27.959344906855666,85.13323165875042",
subj_12,subj_12@gmail.com,f,On,On,sample input,"nepali, math, english",69,189.77,134,01-Oct-26,11:32,20/06/2025 15:12,,,,"28.102339743465436,85.10120229656286",,"27.198154255952314,85.30718987027096,27.142643622344902,85.36285781413571,27.12673982823528,85.46796991135031",
subj_13,subj_13@gmail.com,f,On,Off,lorem ipsum,"english, nepali, math",73,,118,02-Jul-24,04:00,19/09/2025 16:31,,,,"27.899390162283918,85.46561811784505",,,
subj_14,subj_14@gmail.com,f,Off,On,note here,"math, english, nepali",28,62.89,62,,03:33,24/04/2025 03:43,,,,"27.71905434618681,85.18817973674041",,"28.42679199000576,85.05923928860852,28.275800518786173,85.3185369419956,27.18288251750267,85.29412899998461",54
subj_15,subj_15@gmail.com,m,On,On,sample input,"math, nepali",92,22.12,78,28-Dec-26,18:50,,,,,"27.135661090476198,85.44851669944832",,"27.21453281274995,85.38838397034611,27.297306340819347,85.45531911356544,27.984403558991236,85.01808135524735",
subj_16,,f,Off,Off,sample input,math,67,154.42,160,17-Jun-26,,07/07/2026 02:07,,,,"28.276696649642904,85.07760649622054",,,10
subj_17,subj_17@gmail.com,f,Off,On,free text,math,89,34.63,74,,02:35,17/05/2025 06:38,,,,"27.452013948772077,85.28900860790377",,"28.410891614543278,85.07421949496003,27.762529107670414,85.20201719537039,27.711253094223927,85.05960876309888",
subj_18,subj_18@gmail.com,f,On,Off,note here,"math, nepali, english",22,63.41,185,09-Feb-24,03:13,19/01/2025 13:35,,,,"28.181148332978932,85.27457219179983",,"27.540986001675382,85.25636962230338,28.10505853272333,85.44320144336186,28.381585795942787,85.25181646259155",70
subj_19,subj_19@gmail.com,f,Off,On,,"math, nepali",85,,15,03-Nov-24,,13/03/2024 17:54,,,,"27.230419348590953,85.30042020397254",,"28.437643771351457,85.49773223629182,28.158157337031877,85.15548075496038,28.03149757374914,85.352703182742",1
subj_20,subj_20@gmail.com,,Off,On,user response,nepali,17,197.83,192,01-Sep-25,15:08,12/07/2026 09:19,,,,"27.22600946071986,85.09046332611544",,,8
subj_21,subj_21@gmail.com,f,Off,Off,,"math, nepali",85,129.83,81,04-Jan-26,,26/03/2026 12:52,,,,"28.278023275321754,85.25239574145175",,"28.275411448250583,85.17029539779577,27.748225437797227,85.2657055205023,27.157469573844107,85.19927625335077",34
subj_22,subj_22@gmail.com,,On,On,,math,61,61.51,186,12-Sep-25,00:10,09/02/2026 17:58,,,,"28.354991807946078,85.36034797335918",,"28.30020215739289,85.05705203559182,28.098620254490683,85.22004434976368,27.82965570361691,85.32705120474118",10
subj_23,subj_23@gmail.com,f,Off,Off,free text,math,5,97.94,175,16-Dec-26,05:24,13/12/2025 02:13,,,,"27.055456090801762,85.18635117065337",,,56
subj_24,subj_24@gmail.com,m,Off,Off,note here,"nepali, math",11,0.9,125,15-Oct-24,,12/01/2026 16:53,,,,"27.52204713511427,85.42667233557204",,"27.595410101621752,85.13741252537753,28.329836343257803,85.09379684096974,27.127217386853644,85.17096346927283",42
subj_25,subj_25@gmail.com,f,Off,On,,english,19,119.04,200,27-Jun-25,21:20,27/05/2024 01:04,,,,"27.951810397427696,85.17164623118946",,"28.127944682362372,85.27042831847247,27.426811312667738,85.4484983993865,27.35264567532099,85.16267136525833",30
subj_26,subj_26@gmail.com,f,Off,Off,lorem ipsum,math,33,,69,16-Aug-26,06:47,26/11/2025 10:51,,,,"28.353830953828847,85.39379491811466",,"27.152841235971817,85.326461063282,28.433024142281717,85.25636603215005,27.64945873930165,85.01792137570908",48
subj_27,,,On,On,,"math, nepali, english",32,,171,02-May-24,,07/05/2025 04:58,,,,,,"27.00184959376786,85.25408367790644,27.734253009760813,85.16654708050532,27.646990530219675,85.39029056876329",30
subj_28,subj_28@gmail.com,f,On,Off,user response,"nepali, math",25,,187,04-Aug-26,,,,,,,,,
subj_29,subj_29@gmail.com,f,On,Off,note here,"nepali, english, math",54,,124,26-Dec-26,20:14,03/10/2026 23:36,,,,"27.47759867674269,85.39960676112075",,"27.621039140683855,85.15881781718178,27.117162589620545,85.01491738504986,27.51971798311077,85.00951707390874",
subj_30,subj_30@gmail.com,m,Off,Off,sample input,english,24,,25,07-Mar-24,04:07,,,,,"27.19036496327777,85.44865109987704",,"27.932688044791135,85.13659359575044,27.075779544558007,85.29728380444543,27.442132789804145,85.33181052333018",100
subj_31,,m,On,Off,lorem ipsum,"english, math",53,145.15,79,20-Oct-24,18:08,04/04/2025 22:00,,,,"27.141107944634093,85.4448282108377",,"27.224061234552227,85.48077481477051,27.267662642732745,85.09977099644975,28.28847429083657,85.45629137207096",34
subj_32,subj_32@gmail.com,m,Off,On,free text,"math, nepali, english",95,,114,05-Feb-26,20:30,19/04/2024 10:44,,,,"28.078968800536234,85.44378554424402",,"27.91311169334737,85.29049468687403,27.613709966437195,85.30088737793385,28.403072054349742,85.2338201283133",
subj_33,subj_33@gmail.com,f,On,On,free text,english,3,19.78,191,02-Oct-25,21:28,,,,,"27.06775967548414,85.24074567016314",,"27.74325983494293,85.05534603701481,27.37865443582438,85.14738697478727,28.14720532891085,85.43835539863231",20
subj_34,subj_34@gmail.com,m,Off,Off,,nepali,31,19.4,164,15-Jul-26,12:09,12/05/2025 03:06,,,,"27.556878955632417,85.20242748221327",,"27.310220291271047,85.47076942836905,27.18098300616553,85.44806104121182,27.150593468474714,85.13226990557565",86
subj_35,,m,On,On,sample input,nepali,58,106.17,175,31-Dec-24,,25/09/2024 01:53,,,,"27.794618499273746,85.26828400678855",,,
subj_36,subj_36@gmail.com,f,Off,On,free text,"nepali, english, math",4,,31,01-Oct-26,01:27,02/08/2025 12:39,,,,"27.70313894552093,85.07643856106317",,"27.0751600345454,85.17120183840531,28.191685545743827,85.31135437249411,28.12625787711729,85.39681769193119",18
subj_37,subj_37@gmail.com,m,Off,Off,free text,math,88,25.81,12,,11:23,10/12/2025 07:24,,,,"27.7091759591385,85.47503054731222",,,73
subj_38,subj_38@gmail.com,,Off,On,note here,"math, nepali, english",76,189.51,132,16-Mar-26,17:53,07/09/2025 14:30,,,,"27.51354364995008,85.20407833411551",,,
subj_39,subj_39@gmail.com,f,Off,On,free text,"math, english, nepali",87,133.57,34,21-May-24,,04/11/2024 16:54,,,,"28.429383702728348,85.30503024144359",,"27.480736742517024,85.48806419534586,27.599514202745457,85.34271386038051,27.034841373520138,85.20003072306737",91
subj_40,subj_40@gmail.com,m,Off,Off,lorem ipsum,"nepali, math, english",64,48.84,80,27-Sep-26,22:58,28/12/2026 18:13,,,,"27.967228791538936,85.14466006805117",,"27.614973582337566,85.10942830439731,28.224084025129248,85.43028495964718,27.25154927951667,85.0037535164",77
subj_41,subj_41@gmail.com,m,On,Off,,"math, nepali, english",29,,38,15-Mar-25,14:17,,,,,"28.32727358925954,85.33172662861455",,"27.264534570012113,85.21174769733983,27.828277392838995,85.25038307454014,28.029244373422724,85.32634336743463",99
subj_42,subj_42@gmail.com,m,On,Off,note here,math,30,10.28,92,16-Apr-26,08:40,01/07/2026 22:24,,,,"27.73688616958705,85.44651550976815",,"27.144142849457822,85.07676276102731,27.80076001991094,85.0337592400937,27.079210652100166,85.00025937208285",85
subj_43,,f,Off,Off,,math,7,107.79,173,17-Feb-24,02:32,19/03/2026 07:45,,,,"27.551856510332726,85.10959460823932",,"27.178365522050942,85.04299117505548,27.264437047533196,85.08767325572695,28.23466143421035,85.19925331173711",86
subj_44,subj_44@gmail.com,m,Off,On,lorem ipsum,"nepali, math, english",62,57.82,44,08-Jan-24,13:23,27/06/2026 11:01,,,,"27.390276983014488,85.20932804365741",,"27.841834601835068,85.19268474042855,27.40604514224266,85.26095923538463,27.472124427846573,85.28204756852361",85
subj_45,,m,Off,Off,note here,nepali,90,95.22,168,,22:28,,,,,,,"27.26420744875962,85.06734601246167,28.29042282932841,85.16019860179865,27.54113802977738,85.02763520475061",59
subj_46,subj_46@gmail.com,m,On,Off,lorem ipsum,"english, nepali, math",12,24.39,40,23-Jul-26,16:31,30/04/2025 01:12,,,,"28.209286448167088,85.08517059682926",,"27.74050811440597,85.48544236427287,27.571098541825716,85.1987625122775,27.877129054207405,85.0640263052739",40
subj_47,,,Off,Off,user response,"nepali, english",44,185.35,161,19-Oct-26,06:27,24/02/2025 11:17,,,,"27.567889181339595,85.04731988412469",,"27.58364506728312,85.10726948628007,27.844008615862286,85.37776977123671,27.386133543518056,85.41339494096187",66
subj_48,subj_48@gmail.com,f,On,Off,lorem ipsum,nepali,93,,116,,21:33,,,,,"27.698636160535884,85.00273655441731",,"28.31814542967381,85.18653029377903,27.84761686594606,85.13517089409966,27.240882468877377,85.38745395169066",21
subj_49,subj_49@gmail.com,f,Off,Off,,"math, english, nepali",38,,78,07-Jun-26,15:58,24/09/2026 10:56,,,,"28.256575287280562,85.1421985672867",,"27.035955533291933,85.2602287218836,27.69551357202225,85.34506338478923,27.24508755022418,85.33416537039757",37
subj_50,subj_50@gmail.com,,Off,On,lorem ipsum,english,14,,98,,08:11,19/03/2025 09:58,,,,"27.95135165095009,85.21451306067871",,,37
subj_51,subj_51@gmail.com,,Off,On,note here,"nepali, english",32,23.5,188,,22:09,16/03/2024 21:52,,,,,,"27.284045237509282,85.1430236509202,28.44655979233722,85.04714302674401,28.300954560751773,85.35392194720072",57
subj_52,subj_52@gmail.com,m,Off,Off,free text,english,39,194.36,109,17-Apr-26,11:51,27/02/2025 04:23,,,,"27.669109339380338,85.4653422442723",,,
subj_53,subj_53@gmail.com,f,On,On,user response,"nepali, english, math",5,,187,,01:21,27/09/2026 15:37,,,,"28.29620524378909,85.47442155350289",,,41
subj_54,subj_54@gmail.com,m,On,Off,user response,english,33,134.57,32,21-Apr-25,21:10,16/04/2026 04:49,,,,"27.65500123400826,85.4974074464148",,"27.63264909407184,85.03341287735073,27.889434946724425,85.1139838861116,27.956413470343573,85.02541673097424",10
subj_55,subj_55@gmail.com,m,On,Off,free text,"math, english, nepali",43,171.25,154,22-Nov-25,18:40,11/02/2026 08:35,,,,"27.689564196680386,85.10774757090635",,,
subj_56,subj_56@gmail.com,m,On,Off,user response,math,96,,56,04-Aug-24,04:52,04/07/2024 16:50,,,,,,"27.19091429749356,85.27511984595412,28.057542294786288,85.03496581573843,27.721684652644726,85.3911055976339",17
subj_57,subj_57@gmail.com,m,Off,On,sample input,math,24,48.19,93,10-Jul-24,07:21,23/05/2024 16:18,,,,"28.395005021032077,85.24896592639445",,"28.49824445600049,85.30675824236492,28.334669199809802,85.45430412327782,28.187177231711434,85.23046569553655",
subj_58,,m,On,On,user response,"math, english, nepali",11,158.6,13,18-Jul-26,02:53,20/05/2024 09:44,,,,"27.835502672822177,85.14814981522674",,,
subj_59,subj_59@gmail.com,m,On,Off,note here,nepali,18,52.94,185,,21:59,11/06/2026 23:16,,,,"27.64877338986355,85.12651737496485",,"27.56747702133568,85.41756289554037,27.319612401598505,85.00215288783384,27.856751043083612,85.49703888622619",
subj_60,subj_60@gmail.com,f,Off,Off,free text,"math, english",24,,37,22-Apr-25,11:31,04/12/2025 03:58,,,,"27.36881338050759,85.36490762315144",,,13
subj_61,,m,On,On,sample input,"nepali, math, english",61,27.01,55,16-Jul-25,09:24,16/07/2026 06:02,,,,"27.316401582733068,85.45869779463307",,"27.34149172019882,85.02526799432503,28.301135309223877,85.15290011436929,27.92837457176029,85.37998344185037",
subj_62,subj_62@gmail.com,m,Off,Off,user response,english,99,149.87,149,09-Apr-25,02:18,05/07/2025 12:34,,,,"27.370087580219206,85.36826160885094",,"27.28279535081124,85.39761612929135,28.440939428443247,85.3609181661168,28.3767899949386,85.492092632474",35
subj_63,subj_63@gmail.com,f,On,On,note here,"math, nepali, english",61,176.71,76,30-Sep-24,18:14,26/10/2025 22:49,,,,"27.845284855454306,85.24780253910058",,"28.29765034786597,85.01544641851801,27.59465435304722,85.47257414383539,27.076321101817523,85.37485287552232",53
subj_64,subj_64@gmail.com,f,On,On,user response,"english, math, nepali",41,142.0,5,11-Feb-25,17:06,05/06/2025 01:38,,,,"27.52434541717805,85.28930464840626",,"28.354339031445424,85.4609487532496,27.498244571555176,85.08456735369143,27.317658245199464,85.04500069552255",
subj_65,,m,On,On,free text,"english, math, nepali",64,127.69,88,26-Jul-25,16:20,15/03/2024 04:25,,,,"28.26310522765836,85.16510064779887",,"27.116617000387564,85.38251220258903,27.461498199568545,85.10831118209202,28.033352178679458,85.45489831136662",80
subj_66,subj_66@gmail.com,m,Off,On,note here,english,93,134.95,27,29-Oct-25,01:03,,,,,"27.355593115476996,85.41487495506246",,"27.708833975005284,85.24959711271111,27.92957908406946,85.46398530408291,27.737718872119366,85.26432876905415",41
subj_67,subj_67@gmail.com,,On,Off,user response,"nepali, math, english",97,36.18,193,06-Jun-24,,14/04/2024 08:46,,,,"27.231424688120214,85.47053814238235",,"27.489357543246086,85.32078066298217,27.618387894696113,85.3798215261532,27.346018687991787,85.45289592645713",15
subj_68,subj_68@gmail.com,f,Off,On,sample input,nepali,27,198.7,1,21-Dec-26,17:51,19/12/2024 04:22,,,,"28.47843165226801,85.49252334836044",,"27.403695751084207,85.16042503703359,27.820924261807313,85.280388687281,27.7582542290356,85.31833513995815",53
subj_69,subj_69@gmail.com,m,On,Off,,english,86,45.57,21,12-Apr-26,,02/05/2024 04:15,,,,,,,66
subj_70,,m,On,Off,,"math, nepali",90,,110,14-Jul-24,16:09,04/06/2026 15:08,,,,"27.45040786821379,85.23861645498789",,"27.06894487401021,85.17610624678257,28.067114021564613,85.00921890143759,27.658767769808904,85.32200470072493",73
subj_71,subj_71@gmail.com,m,Off,On,free text,"nepali, english",18,90.98,8,01-Apr-24,04:34,11/10/2026 14:55,,,,"27.018077794523887,85.38150964838837",,"28.45606524179432,85.27516175284882,27.117234209828084,85.42489459890251,27.920742383713517,85.30736837209415",64
subj_72,,f,Off,On,free text,"math, english, nepali",55,146.62,62,29-Nov-26,04:43,23/05/2025 12:44,,,,"28.277583274128776,85.12084979899056",,"27.386841013721693,85.34646329529292,28.480968929935717,85.0752991436215,27.13260343605101,85.3370975962224",31
subj_73,subj_73@gmail.com,m,On,On,free text,"nepali, english, math",4,130.16,89,,16:29,,,,,,,,69
subj_74,subj_74@gmail.com,m,On,On,sample input,"math, english",11,,90,29-Sep-24,18:48,17/07/2026 12:12,,,,"27.63192019152488,85.05014369924763",,"27.0334032309444,85.30068638140567,28.145766100932537,85.14240379432495,28.181333377294827,85.31617752538315",59
subj_75,subj_75@gmail.com,,On,On,user response,nepali,34,3.25,15,10-May-25,00:28,15/11/2024 11:01,,,,"27.756095859846827,85.04535088304499",,"27.753619490446408,85.48556757590116,27.3882534558561,85.25227261985196,28.289296187713987,85.22412617727687",13
subj_76,subj_76@gmail.com,m,Off,Off,,"english, nepali, math",41,136.01,78,,08:15,14/03/2025 08:18,,,,"27.857925938461804,85.106915410639",,"27.05846906630598,85.24730011198723,27.185907081661316,85.11923322185787,28.120666309031115,85.06537590668816",72
subj_77,subj_77@gmail.com,m,Off,On,note here,"english, math",12,35.58,104,16-Jan-25,00:36,,,,,"27.049214999246594,85.13967740609687",,"27.577751606033953,85.16950387030144,27.491885825296055,85.04486563887063,27.037807420689244,85.10105715007823",26
subj_78,subj_78@gmail.com,m,Off,Off,user response,nepali,7,179.1,153,13-May-24,18:45,04/12/2024 11:05,,,,,,,74
subj_79,subj_79@gmail.com,f,On,On,lorem ipsum,"english, math",45,78.55,170,10-Apr-25,20:53,09/04/2026 07:44,,,,"27.227702599618247,85.17596497151148",,"28.235868541576195,85.12836088076759,28.454657368246515,85.39236101042567,28.451389538996207,85.41906827741515",
subj_80,subj_80@gmail.com,,Off,On,lorem ipsum,math,17,,186,24-Feb-25,,01/03/2026 04:48,,,,"27.994386677305382,85.05933868353942",,"27.278961629813566,85.16163294218255,27.881452461979563,85.35903116831713,27.663984022740387,85.07814566098048",
subj_81,subj_81@gmail.com,m,Off,On,user response,"nepali, english, math",93,62.94,65,24-Jan-25,07:11,30/07/2026 06:28,,,,"27.50852378635989,85.32772969636",,"28.122771700339644,85.4381336165129,27.204705831066768,85.16008048444644,27.552516246309516,85.26858632416341",71
subj_82,,f,On,Off,,"math, english",63,69.08,139,08-Aug-25,06:35,24/11/2024 12:07,,,,"28.047477611802883,85.4933559562241",,,91
subj_83,,m,Off,On,note here,"english, nepali",45,173.81,151,,17:12,02/04/2026 15:29,,,,"27.306539317817457,85.04679147266918",,"27.2996923959872,85.146155771715,28.45810526569633,85.35409224337955,27.915783006320737,85.15381424271206",42
subj_84,,f,On,Off,free text,"english, math, nepali",48,87.23,18,21-Dec-24,07:35,08/11/2025 23:49,,,,"27.431209527822634,85.08726856581339",,"28.37886837332584,85.0162962216235,27.100467019697984,85.20163679146518,27.120415980606055,85.13136479820741",7
subj_85,subj_85@gmail.com,,On,Off,lorem ipsum,"english, math",83,,147,14-Apr-25,19:22,17/12/2025 01:19,,,,"28.085617935287758,85.03319913952164",,"27.133393114575423,85.01187825322859,27.084433219472988,85.42681508657337,27.352055233577843,85.2741366589291",17
subj_86,subj_86@gmail.com,m,Off,Off,,"english, math, nepali",30,133.04,96,16-Apr-26,06:03,05/02/2025 06:27,,,,"27.54757087032714,85.07497073896702",,"27.200679638390785,85.3469296671045,28.27149970199696,85.11876783602612,27.225900891505894,85.00430862856687",
subj_87,subj_87@gmail.com,m,On,On,,"math, nepali, english",85,,72,04-Aug-24,23:23,,,,,"28.129609910430766,85.44627074739755",,"27.83381610731364,85.14870597954679,27.494678069327254,85.465972184615,28.02284385760061,85.48729520662555",19
subj_88,subj_88@gmail.com,m,On,On,sample input,math,86,,187,,20:05,14/10/2026 17:06,,,,"28.242296778734005,85.35917528158657",,"28.045910492744895,85.4784857923154,27.88128267079331,85.33217243421713,27.6556920632997,85.37806040487153",6
subj_89,,f,Off,On,user response,math,49,117.04,81,12-Nov-25,17:17,16/05/2026 22:32,,,,"27.791099670987197,85.43649360770085",,,18
subj_90,subj_90@gmail.com,m,On,Off,sample input,"english, nepali",87,103.95,53,,,,,,,"27.352260244888846,85.05287506873076",,"27.575014190115763,85.38625290301121,28.204057464190317,85.05541038484935,27.912989628940174,85.47954803168555",37
subj_91,,f,Off,Off,user response,"math, nepali",68,,100,26-Apr-26,22:42,,,,,"27.9634761175073,85.2313000303554",,,
subj_92,subj_92@gmail.com,m,On,On,lorem ipsum,"math, english",17,73.62,155,17-Nov-25,,24/02/2024 21:56,,,,"28.03574332682672,85.00824110029808",,"28.172198759103633,85.18864091953068,27.018595820873696,85.25486732993822,27.760785178973894,85.21849464415573",83
subj_93,subj_93@gmail.com,f,On,On,,"english, math, nepali",56,128.75,109,23-Dec-24,06:59,28/01/2024 06:27,,,,"28.12009757225707,85.25828725242151",,"27.061879548759844,85.04997592788726,27.982493886302198,85.4977776497929,27.023704858744946,85.2787917484132",48
subj_94,subj_94@gmail.com,f,On,Off,lorem ipsum,math,93,,57,,,,,,,,,"28.151491549048114,85.44656515303501,27.978850877650622,85.06220519436326,27.443086192064776,85.45665914841614",
subj_95,subj_95@gmail.com,f,Off,Off,lorem ipsum,"math, english, nepali",50,,6,30-May-26,05:03,19/01/2025 22:49,,,,"27.741389665217795,85.09874102593164",,"28.3532245026135,85.43873849061212,28.43939439308924,85.11416811581596,28.39773643619297,85.285606595676",72
subj_96,subj_96@gmail.com,f,Off,On,,"math, nepali",55,85.72,126,05-Nov-25,05:22,05/08/2024 19:45,,,,"28.322425831864294,85.36470522979965",,"28.269514525484954,85.49654943135882,27.630244281786958,85.40695784185479,28.116869639277052,85.22643508285601",21
subj_97,subj_97@gmail.com,,On,Off,sample input,"math, nepali, english",25,161.16,78,,21:23,27/05/2025 13:26,,,,"27.751474816547667,85.23607222551033",,"27.51206774127179,85.40028855875767,28.28047600350675,85.0767461026871,27.87402369259614,85.1426559967996",36
subj_98,subj_98@gmail.com,m,On,Off,sample input,"nepali, math",99,33.17,161,,19:56,12/08/2026 16:31,,,,"27.70260797942351,85.44624216860483",,,80
subj_99,subj_99@gmail.com,f,Off,On,lorem ipsum,math,51,2.43,84,01-Sep-25,06:21,14/04/2025 04:15,,,,"28.339357493044023,85.00135363683789",,"27.50114078948993,85.13602259458884,27.69005622735482,85.09076155405485,27.794437861439224,85.3533479606566",74
subj_100,,f,On,On,note here,"math, english",78,6.59,37,08-Feb-24,17:06,29/03/2024 09:47,,,,"27.787639850017296,85.32639361224565",,,2
subj_101,subj_101@gmail.com,m,On,Off,lorem ipsum,"nepali, english, math",22,,178,22-Oct-25,08:33,17/07/2025 12:08,,,,"27.527116277099307,85.10831671910293",,"27.808752438535496,85.46747890843292,27.57812134716213,85.41793148563464,27.112709111898294,85.36991554701925",81
subj_102,subj_102@gmail.com,f,Off,On,note here,"english, nepali, math",61,23.8,12,02-Dec-25,07:47,,,,,"27.05991969842644,85.01414615281905",,"27.895089525647894,85.21730208784048,28.384968843465384,85.14390450748068,28.01871805265834,85.0270271558093",18
subj_103,subj_103@gmail.com,m,On,On,sample input,"math, english",87,165.28,90,22-Jan-25,15:29,23/10/2024 14:02,,,,"27.36803439740044,85.10471364072971",,"27.096313277348198,85.38375370799045,27.56470415160955,85.19011779194965,27.646977422273686,85.40752241170405",54
subj_104,subj_104@gmail.com,f,Off,On,free text,"english, nepali",53,20.85,83,,09:39,02/09/2025 05:02,,,,,,,12
subj_105,subj_105@gmail.com,m,Off,On,,math,32,109.68,110,24-Mar-25,00:23,,,,,"27.915434927555776,85.49334910075926",,"27.30601971983106,85.31153575178102,27.630125347954188,85.19197590673859,28.396864992719195,85.07461386422013",10
subj_106,subj_106@gmail.com,m,Off,Off,free text,"english, nepali",88,134.7,29,27-Dec-24,03:15,,,,,,,"27.089986251878024,85.29489499192793,28.026000155341585,85.29407317405703,27.5477770545316,85.34864114799332",86
subj_107,subj_107@gmail.com,f,Off,Off,note here,"nepali, english, math",25,,31,17-Dec-26,23:10,26/03/2026 10:07,,,,"27.230366800421635,85.38834433817465",,"27.776817863502867,85.16819054402835,27.23553824600129,85.0059045440895,27.371920487491327,85.45701003164065",32
subj_108,subj_108@gmail.com,,Off,Off,lorem ipsum,"math, nepali",29,36.66,51,29-May-25,,21/10/2026 12:24,,,,"28.312649845592208,85.30680271752347",,,82
subj_109,,m,On,Off,,"math, english",80,61.91,183,24-Aug-25,19:39,25/07/2026 23:45,,,,"28.118512500990448,85.04224044783854",,"27.1661254775946,85.03975278154618,28.126254500154694,85.14646795325191,28.33395277615082,85.38103651051509",9
subj_110,subj_110@gmail.com,f,Off,On,free text,"english, math",36,114.15,149,30-Mar-25,03:50,31/07/2026 15:22,,,,"27.34515473108601,85.49268228108411",,"27.00747744794171,85.09215500104493,27.953311939459617,85.18985966324084,28.386420575518592,85.38236210957088",39
subj_111,subj_111@gmail.com,f,On,Off,note here,math,89,,165,11-Dec-25,20:29,04/08/2024 03:50,,,,"27.36671376372876,85.44140466607229",,"27.61455161482349,85.09097147763838,28.09744052314535,85.22422913113444,27.024385664839077,85.4820068511799",21
subj_112,subj_112@gmail.com,m,Off,Off,sample input,english,78,22.78,53,27-Nov-24,18:32,12/12/2024 11:27,,,,"28.374087496952743,85.42513119256799",,"27.07121024614964,85.04178101607424,27.585414212658513,85.1288435456365,27.2549108870416,85.47660188725432",
subj_113,subj_113@gmail.com,m,Off,On,note here,"english, nepali, math",94,51.04,75,18-Feb-26,11:37,,,,,"27.243269902415676,85.16618856751808",,"27.285629256999524,85.09650376807939,27.812607857494843,85.06443870233524,28.033345511983253,85.4719735629313",23
subj_114,,,Off,On,note here,"nepali, english",8,60.67,156,,01:03,20/03/2025 15:02,,,,,,"27.530787958985,85.06189366555857,27.27920813115636,85.1658746562296,27.105350056330053,85.02845660106422",74
subj_115,subj_115@gmail.com,m,Off,Off,free text,english,7,,138,,,21/11/2024 23:39,,,,"27.060272358942704,85.4335028004283",,,67
subj_116,subj_116@gmail.com,f,On,Off,,nepali,9,172.81,28,06-Jun-24,,,,,,"27.58208032095337,85.27750512296996",,,54
subj_117,subj_117@gmail.com,f,Off,Off,lorem ipsum,"nepali, math",7,,197,14-Apr-24,23:47,08/01/2026 03:51,,,,"27.49590083121147,85.13712276760906",,"28.043328045618964,85.06950253925613,28.211750864559423,85.33858798083166,27.29225652972209,85.32404696514075",75
subj_118,subj_118@gmail.com,,On,Off,,"nepali, math",45,71.04,191,21-Dec-25,21:42,04/10/2026 03:06,,,,"28.319135113367487,85.23628675545353",,"27.40638059007947,85.24448775767213,27.055965438604392,85.40200058013153,27.152152576281633,85.1543742442515",19
subj_119,,m,On,On,lorem ipsum,"nepali, math",19,190.31,65,02-Jun-24,04:38,15/09/2025 16:33,,,,"27.157886390674676,85.3323200954631",,"27.141344796669152,85.09536357866136,27.95809636934607,85.31423831510246,27.631582369493568,85.04508598824475",82
subj_120,subj_120@gmail.com,f,Off,Off,user response,nepali,38,95.84,152,,11:19,12/08/2026 23:05,,,,,,,72
